Winning Team,Losing Team,Round
Florida,Albany NY,1
Pittsburgh,Colorado,1
SF Austin,VA Commonwealth,1
UCLA,Tulsa,1
Dayton,Ohio St,1
Syracuse,W Michigan,1
Stanford,New Mexico,1
Kansas,E Kentucky,1
Virginia,Coastal Car,1
Memphis,G Washington,1
Harvard,Cincinnati,1
Michigan St,Delaware,1
North Carolina,Providence,1
Iowa St,NC Central,1
Connecticut,St Joseph's PA,1
Villanova,WI Milwaukee,1
Arizona,Weber St,1
Gonzaga,Oklahoma St,1
N Dakota St,Oklahoma,1
San Diego St,New Mexico St,1
Baylor,Nebraska,1
Creighton,ULL,1
Oregon,BYU,1
Wisconsin,American Univ,1
Wichita St,Cal Poly SLO,1
Kentucky,Kansas St,1
St Louis,NC State,1
Louisville,Manhattan,1
Tennessee,Massachusetts,1
Mercer,Duke,1
Texas,Arizona St,1
Michigan,Wofford,1
Florida,Pittsburgh,2
UCLA,SF Austin,2
Dayton,Syracuse,2
Stanford,Kansas,2
Virginia,Memphis,2
Michigan St,Harvard,2
Iowa St,North Carolina,2
Connecticut,Villanova,2
Arizona,Gonzaga,2
San Diego St,N Dakota St,2
Baylor,Creighton,2
Wisconsin,Oregon,2
Kentucky,Wichita St,2
Louisville,St Louis,2
Tennessee,Mercer,2
Michigan,Texas,2
Florida,UCLA,3
Dayton,Stanford,3
Michigan St,Virginia,3
Connecticut,Iowa St,3
Arizona,San Diego St,3
Wisconsin,Baylor,3
Kentucky,Louisville,3
Michigan,Tennessee,3
Florida,Dayton,4
Connecticut,Michigan St,4
Wisconsin,Arizona,4
Kentucky,Michigan,4
Connecticut,Florida,5
Kentucky,Wisconsin,5
Connecticut,Kentucky,6
