id,pred,Usage,OT,team1_score,team2_score ,,first round,row,,,,,
S_507_592,0,Public,0,55,67,,1,17,0,0,1,,11
S_509_849,0,Public,0,35,75,,1,132,0,0,2,,24
S_511_607,1,Public,0,84,61,,,194,1,1,3,,25
S_511_754,1,Public,0,70,64,,,249,0,0,4,,27
S_511_842,1,Public,0,68,59,,1,295,1,1,5,,29
S_511_849,0.5,Public,1,63,64,,,364,0,0,6,,
S_512_793,0,Public,0,85,87,,1,446,0,0,7,,
S_521_562,1,Public,0,85,55,,,461,0,0,8,,
S_521_698,1,Public,0,74,60,,1,561,0,0,9,,
S_521_849,0,Public,0,52,69,,,603,0,0,10,,
S_536_725,0,Public,0,68,87,,1,664,1,0,11,,
S_538_846,0,Public,0,37,64,,1,729,1,1,12,,
S_549_612,0,Public,0,57,61,,1,767,1,1,13,,
S_553_830,0,Public,0,59,70,,1,812,0,0,14,,
S_556_731,0,Public,0,48,77,,1,863,0,0,15,,
S_559_592,1,Public,0,63,53,,,908,0,0,16,,
S_559_629,1,Public,0,81,76,,,1015,0,0,17,,
S_559_640,1,Public,0,60,54,,,1078,1,1,18,,
S_559_671,1,Public,0,60,54,,,1211,1,1,19,,
S_559_779,0.5,Public,1,89,81,,1,1290,0,0,20,,
S_559_829,1,Public,0,77,65,,,1377,1,1,21,,
S_562_811,1,Public,0,76,66,,1,1484,0,0,22,,
S_569_592,0,Public,0,52,62,,,1612,1,1,23,,
S_569_720,1,Public,0,60,59,,1,1692,1,0,24,,
S_569_783,1,Public,0,82,72,,,1765,0,1,25,,
S_569_786,1,Public,0,55,53,,,1827,0,0,26,,
S_570_671,0,Public,0,78,93,,1,1852,0,1,27,,
S_577_667,0,Public,0,71,78,,1,1879,1,1,28,,
S_580_636,0,Public,0,69,80,,1,2080,1,0,29,,
S_592_731,1,Public,0,61,45,,,2153,1,1,30,,
S_592_810,1,Public,0,79,68,,,2190,0,0,31,,
S_599_666,0,Public,0,66,71,,1,2247,1,1,32,,
S_607_722,1,Public,0,85,77,,1,,,,,,
S_612_671,0,Public,0,73,80,,,,,,,,
S_629_694,1,Public,0,93,75,,1,,,,,,
S_629_708,1,Public,0,85,83,,,,,,,,
S_636_783,0,Public,0,57,60,,,,,,,,
S_637_640,0,Public,0,49,56,,1,,,,,,
S_640_651,1,Public,0,74,69,,,,,,,,
S_640_670,1,Public,0,75,72,,,,,,,,
S_640_846,1,Public,0,78,767,,,,,,,,
S_640_849,1,Public,0,74,73,,,,,,,,
S_651_658,1,Public,0,71,64,,1,,,,,,
S_651_780,1,Public,0,66,51,,,,,,,,
S_663_790,0,Public,0,67,86,,1,,,,,,
S_666_830,0,Public,0,60,78,,,,,,,,
S_667_790,0,Public,0,63,83,,,,,,,,
S_670_790,1,Public,0,73,70,,,,,,,,
S_670_793,1,Public,0,79,65,,,,,,,,
S_670_850,1,Public,0,57,40,,1,,,,,,
S_671_830,1,Public,0,61,59,,,,,,,,
S_689_721,0.5,Public,1,80,75,,1,,,,,,
S_689_754,0,Public,0,44,63,,,,,,,,
S_695_780,0.5,Public,1,80,83,,1,,,,,,
S_701_783,0,Public,0,53,58,,1,,,,,,
S_702_754,0.5,Public,1,69,73,,1,,,,,,
S_708_737,1,Public,0,79,77,,1,,,,,,
S_725_849,0,Public,0,77,85,,,,,,,,
S_765_810,0,Public,0,60,77,,,,,,,,
S_765_825,0.5,Public,1,77,75,,1,,,,,,
S_786_836,1,Public,0,77,53,,1,,,,,,
S_802_810,0,Public,0,59,76,,1,,,,,,
S_829_845,1,Public,0,73,53,,1,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,32,,,,,,
